Publication Number,Title,Label
CN104651188A,Greengage wine and preparation method thereof,Alchohol
CN104651187A,Nutritional Meijiuyu sweet-spring white spirit,Alchohol
CN104651184A,Method for preparing yellow wine milk tea drink,Alchohol
CN104651183A,Bagged yeast wine for soaking health-care wine,Alchohol
CN104651182A,Jujube-flavored white spirit and brewing process thereof,Alchohol
CN104651181A,Gastrodia elata-ganoderma lucidum wine and preparation method thereof,Alchohol
CN104651180A,Production method of ginseng fruit wine,Alchohol
CN104651179A,Preparation method of black maca health-preservation wine,Alchohol
CN104651178A,Beauty and healthcare wine,Alchohol
CN104651176A,Making method of household loquat liquor,Alchohol
CN104651175A,Making method of simple black raisin liquor,Alchohol
CN104651174A,Making method of simple shaddock fruit wine,Alchohol
CN104651173A,"Formula of strawberry wine with skin moistening efficacy, and making technology of strawberry wine",Alchohol
CN104651170A,Anemia symptom treating honey peach fruit wine,Alchohol
CN104651169A,Simple strawberry red wine with skin beautifying effect,Alchohol
CN104651168A,Kiwi fruit wine production process,Alchohol
CN104651167A,Household lemon fruit wine production method,Alchohol
CN104651166A,Formula and production process of mango wine,Alchohol
CN104651164A,Preparation technology of liver-nourishing liquor,Alchohol
CN104651163A,Tonic medicinal liquor,Alchohol
CN104651162A,Method for producing health care wine,Alchohol
CN104651159A,Brewing process of prickly pear fruit wine,Alchohol
CN104651158A,Sorghum wine and preparation method thereof,Alchohol
US9981171B2,Edible device for hard liquor beer pong alternative,Alchohol
US9980588B2,Wine decanter device,Alchohol
US9975839B2,Paraxylene extraction of purification mother liquor with heat integration,Alchohol
US9969962B2,Modular stand for home beer brewing,Alchohol
US9969921B2,Oil and gas treatment composition comprising hydroxyethyl cellulose and crosslinked polyvinylpyrrolidone,Alchohol
US9963286B2,Protective packaging in which wine bottles can be transported,Alchohol
US9962623B2,Process to remove product alcohols from fermentation broth,Alchohol
US9957095B2,Combined wine glass and wine bottle package,Alchohol
US9944891B2,Process for reducing ethanol loss while developing desirable organoleptics during wooden barrel aging of alcoholic beverage,Alchohol
US9938664B2,Method and arrangement for clarifying green liquor,Alchohol
US9938491B2,Wine aerator,Alchohol
US9938131B2,Wine dispenser that protects unpoured wine from oxidation by preventing air from entering the dispenser when partially full,Alchohol
US9938129B2,Plastic beer keg,Alchohol
US20180147154A1,Polyvinylpyrrolidone for the stabilization of a solid dispersion of the non-crystalline form of rotigotine,Alchohol
US9914829B2,Crosslinked polyvinylpyrrolidone compositions,Alchohol
US9902816B2,Method for extracting lignin from black liquor and products produced thereby,Alchohol
US9890031B2,Alcoholic beverage barrel dispensing apparatus,Alchohol
US9873097B1,Magnetic stirring system for wine aeration and method of using same,Alchohol
US9861558B2,Methods of forming an aqueous treatment liquor by dissolving a porous solid with a benefit agent coating,Alchohol
US9857237B2,Individualized wine bottle temperature indicator,Alchohol
US9840687B2,Artificial aging apparatus for spirits and other alcoholic beverages,Alchohol
US9828231B2,Apparatus for storing and dispensing wine,Alchohol
US9816062B2,Method for lautering wort,Alchohol
US9808004B2,Synergistic combination to improve grape color and to alter sensory characteristics of wine,Alchohol
US9802805B2,Apparatus for storage and aging of wine,Alchohol
US9796955B2,Natural and stable solutions of alpha-acids and their use for the improvement of foam quality of beer,Alchohol
US9795934B2,Wine and spirits aerator,Alchohol
US20180031534A1,Systems and methods for evaluation of wine characteristics,Alchohol
US20170360195A1,Wine rack,Alchohol
US9777033B2,Method for lignin separation from black liquor,Alchohol
US9763515B2,Wall mounted modular wine rack storage apparatus,Alchohol
US9758798B2,Process for the production of ethanol and solvents from lignocellulosic biomass with recycling of an ethanolic liquor obtained from the fermentation of pentoses,Alchohol
US20180135028A1,Novel car enzymes and improved production of fatty alcohols,Alchohol
US9758753B2,Colloidal stabilization of beer,Alchohol
US9752110B2,Method and compositions of preserving wine,Alchohol
US9751743B2,Wine dispenser,Alchohol
US9736554B2,Draft beer supply chain systems and methods,Alchohol
US20170298393A1,Processes and Systems for Alcohol Production and Recovery,Alchohol
US9732302B2,System and method for separating high value by-products from grains used for alcohol production,Alchohol
US9732169B2,Raft agents and their use in the development of polyvinylpyrrolidone grafted nanoparticles,Alchohol
US9732022B2,Recovery of materials from a mother liquor residue,Alchohol
US9668573B2,"Wine bottle rack-building kit, packaging, and method",Alchohol
US9659320B2,System and method to enable a customer to select a wine based upon available inventory,Alchohol
US9637274B2,"Caddies for boxed beverages, especially caddies for boxed wine products",Alchohol
US9624512B2,Alcohol production process,Alchohol
US9624001B1,Drip collar for wine bottles and the like,Alchohol
US9615660B2,Wine rack carousel,Alchohol
USPP27839P2,Hibiscus plant named ‘Vintage Wine’,Alchohol
US9611452B2,Disposable wine fermentaton vessel with cap management and integral press,Alchohol
US20170145445A1,Process and Systems for the Fermentative Production of Alcohols,Alchohol
US9593349B2,Fermentative production of alcohols,Alchohol
US9592478B2,Self-supporting wine and spirits aerators,Alchohol
US9580287B2,Apparatus for preventing beer stone formation and gas-induced foamy beer-spurting phenomenon,Alchohol
US9580225B2,Wine bottle closure apparatus,Alchohol
US9579612B2,Wine bottle aerator,Alchohol
US9567360B2,Process for production of precipitated lignin from black liquor and precipitated lignin produced by the process,Alchohol
US9555301B2,Modular beer pong table constructed of easily interchangeable modules,Alchohol
US9540603B2,"Apparatus and process for stabilizing a liquid, in particular beer",Alchohol
US9540471B2,"Nitric oxide-releasing diazeniumdiolated polyvinylpyrrolidone-based polymers, and compositions, medical devices, and uses thereof",Alchohol
US9523104B2,Processes and systems for the production of alcohols,Alchohol
US9511910B2,Intelligent wine capsule,Alchohol
US9510521B2,Use of abscisic acid to alter sensory characteristics of red grapes and wine,Alchohol
US9499460B2,Alcohol production method,Alchohol
US9499386B2,Wine storage and dispensing apparatus,Alchohol
US9488599B2,Authentication device for full intact wine bottles,Alchohol
US9486754B2,Wine and liquor aerator fitment,Alchohol
US9475833B2,Method for lignin separation from black liquor comprising removal of sulfur compounds from formed water effluent,Alchohol
US9464339B2,Process for inhibiting particulate emission during friction of heat-treated iron ore pellets and use of an alcohol by-product to inhibit particulate emission,Alchohol
US9463663B1,Hardboard medium for art using wood from a wine barrel,Alchohol
US9463423B2,Wine aerator,Alchohol
US9458556B2,Fiber comprising polyvinylpyrrolidone,Alchohol
US9453245B2,Method for producing ethanol and solvents from lignocellulosic biomass including the recirculation of a butyl wine obtained by fermenting pentoses,Alchohol
US9451863B1,Wine glass polisher,Alchohol
US9442086B2,Method and apparatus for the analysis of wine,Alchohol
US20160281039A1,System for aging beer,Alchohol
US9434917B2,Wort boiling method and apparatus,Alchohol
US9434505B2,Plastic beer keg,Alchohol
US9416384B2,Methods of hydrolyzing oligomers in hemicellulosic liquor,Alchohol
US9416342B2,Sparkling alcoholic beverage and process for producing the same,Alchohol
US9398824B2,Cantilever-style wine bucket and bottle holder,Alchohol
US9388207B2,Process for the separation of lignins and sugars from an extraction liquor,Alchohol
US9382507B2,Malolactic fermentation of wine,Alchohol
US9382389B2,"Method for separating lignin from black liquor, a lignin product, and use of a lignin product for the production of fuels or materials",Alchohol
US9381145B2,Botanical extracts from oil palm vegetation liquor for cosmeceutical applications,Alchohol
US9333221B2,Fat binder obtained from biomass resulting from beer production,Alchohol
US9314042B2,Method and composition used for the manufacture of coffee liquor,Alchohol
US9309102B2,Wine storage and dispensing device with air removal system,Alchohol
US9302815B2,Wine bottle protection wrap and associated marketing method,Alchohol
US9289062B1,Wine bottle storage racks,Alchohol
US20160207752A1,System and Method for Preserving Wine and Other Perishable Substances,Alchohol
US9266917B2,Method for lignin separation from black liquor having multiple acidification steps,Alchohol
US9260683B2,"Molecularly imprinted polymer for wine, method of preparing, and use of same",Alchohol
US9242793B1,Wine decanter to retain and preserve unconsumed wine,Alchohol
US9238788B2,Method to stabilize beer foam,Alchohol
US9238184B2,Apparatus and method for refining a process liquor by gravity settling,Alchohol
US20180147553A1,Compositions and methods for calcining diatomaceous earth with reduced cristobalite and/or reduced beer soluble iron,Alchohol
US20180141798A1,Variable-flow beer faucet,Alchohol
US20180135082A1,Engineered microorgansims & methods for improved crotyl alcohol production,Alchohol
US20180127693A1,Process for the production of wine using flowers of castanea sativa mill as natural preservatives in alternative to the addition of sulphites,Alchohol
US20180125917A1,"Process of making wine from a whole grape bunch, process of making pomace juice and powder, and method of producing beverages on the basis of juice and powder from a grape bunch",Alchohol
US20180119076A1,Method for aging or maturing ethyl or ethanol alcohol based beverages,Alchohol
US20180117540A1,Systems and methods for a wine aeration apparatus,Alchohol
US20180112163A1,Method for Simultaneously Reducing Urethane and its Precursors Levels during Chinese Liquor Production Process,Alchohol
US20180105777A1,Beer composition and method of making same,Alchohol
US20180100693A1,Water Cooled Draft Beer Machine,Alchohol
US20180100692A1,Double Cooled Draft Beer Machine,Alchohol
US20180099853A1,Draft Beer Machine,Alchohol
US20180099852A1,Double Cooled Draft Beer Machine,Alchohol
US20180096207A1,Interactive touch screen device for wine,Alchohol
US20180094304A1,Use of genetic profiling for prediction of wine taste preferences and wine selection,Alchohol
US20180094229A1,System and method for wort generation,Alchohol
US20180080173A1,Method and a system for quality optimization of green liquor,Alchohol
US20180071684A1,Black Liquor Concentration by a Membrane Comprising Graphene Oxide on Porous Polymer,Alchohol
US20180057807A1,Gene modification in clostridium for increased alcohol production,Alchohol
US20180057779A1,Fermented tea beer,Alchohol
US20180057778A1,Process Adjustments for Uniform Beer Making,Alchohol
US20180055263A1,Electric Wine Decanter,Alchohol
US20180051239A1,Method and structure for comprehensive utilization of co-products of alcohol production from grains,Alchohol
US20180050895A1,Electric wine opener,Alchohol
US20180045548A1,Apparatus and method for measuring a volume of a liquor dispensed from a bottle,Alchohol
US20180044621A1,Infuser for alcoholic beverages,Alchohol
US20180036691A1,Device for aerating wine,Alchohol
US20180032948A1,Wine inventory management system and methods,Alchohol
US20180030555A1,Separation of lignin and sugars from biomass pre-treatment liquors,Alchohol
US20180030483A1,Process for production of bio-alcohol,Alchohol
US20180030393A1,Flavor System and Method for Making Sherry Wine Like Beverages,Alchohol
US20180014555A1,Brewer's spent-grain based protein powder,Alchohol
US20170369802A2,Pulping Liquors and Uses Thereof,Alchohol
US20170367522A1,Beer post-maturation cutomisation appliance,Alchohol
US20170360031A1,"Agrochemical granules made of polyalkoxylate, dispersant, sugar, and polyvinylpyrrolidone",Alchohol
US20170355939A1,Devices and methods for removal of biogenic amines from wines and other liquids,Alchohol
US20170349866A1,Small scale grain malting apparatus and method,Alchohol
US20170341044A1,Carbon Dioxide Regulating System for Home Beer Brewing,Alchohol
US20170335262A1,Apparatus and methods for increased time rates and flavor control in the aging of alcoholic beverages,Alchohol
US20170320805A1,Process for manufacturing succinic acid from a fermentation broth using nano filtration to purify recycled mother liquor,Alchohol
US20170320717A1,Modulated pressure control of beer fill flow,Alchohol
US20170313964A1,Tank for wine fermentation,Alchohol
US20170313963A1,"Device, system and method for obtaining and/or for clarifying wort and other media in the beer brewing and beverage industry and corresponding uses",Alchohol
US20170306558A1,Process for treating black liquor,Alchohol
US20170300983A1,System and method for enhancing alcoholic beverage transactions and the portioning of related products between merchant and consumer,Alchohol
US20170297890A1,System for monitoring beer kegs,Alchohol
US20170292099A1,Indirect water heating and chilling system for brewing beer,Alchohol
US20170291808A1,Wine Dispensing Systems and Methods,Alchohol
US20170283751A1,Apparatus for producing wort,Alchohol
US20170283127A1,Outsert for aluminum wine bottle,Alchohol
US20170274035A1,Compositions comprising extracts or materials derived from palm oil vegetation liquor for inhibition of vision loss due to angiogenesis and method of preparation there,Alchohol
US20170238582A1,Method of Preparing Cannabis-Infused Alcoholic Beverage,Alchohol
US20170225933A1,Method for filling bottles with wine,Alchohol
US20170218316A1,Novel System for Germinating and Malting Grain,Alchohol
US20170216795A1,Agitation device for red wine production,Alchohol
US20170216188A1,Use of a combination of polyurethane-2/polymethyl methacrylates and polyvinylpyrrolidone,Alchohol
US20170215471A1,Method for preparing flavorful compounds isolated from black liquor and products incorporating the flavorful compounds,Alchohol
US20170204354A1,Process for beer brewing with addition of alkali metal humulates and alkali metal lupulates to the wort,Alchohol
US20170203949A1,Portable wine dispenser,Alchohol
US20170197141A1,Apparatus for animated beer pong (beirut) game,Alchohol
US20170183818A1,A method of feeding a sealing medium into a liquor filter and a liquor filter,Alchohol
US20170158477A1,Automatic Wine Bottle Opener,Alchohol
US20170157481A1,Dual-purpose wine bottle sleeve and golf club head cover,Alchohol
US20170151304A1,Anti-proliferative effects of palm vegetation liquor and extracts thereof in preventing pancreatic cancer,Alchohol
US20170145360A1,Method of preparing white liquor flavored enhancing peptide,Alchohol
US20170132726A1,Beer keg with user link,Alchohol
US20170130398A1,Methods for separating and refining lignin from black liquor and compositions thereof,Alchohol
US20170130180A1,Method of cleaning beer and beer cleaning apparatus,Alchohol
US20170121657A1,"Beer-taste beverage, method for producing the same, and method for improving taste of the same",Alchohol
US20170107466A1,Distilled plum liquor,Alchohol
US20170103447A1,Wine label affinity system and method,Alchohol
US20170101301A1,"Unique self-pressurizing, self-cooling beverage system, having impact-and-vibration-absorbing systems, anti-shaking anti-rolling clamping system, root-beer-float system, beverage-dispensing system, and multi-height spigot system",Alchohol
US20170088869A1,Compositions Comprising A Polypeptide Having Cellulolytic Enhancing Activity And A Liquor And Uses Thereof,Alchohol
US20170071336A1,Nesting transportable wine barrel rack,Alchohol
US20170049135A1,Recovery Beer,Alchohol
US20170030017A1,Device and method for treating the black liquor resulting from pulping by hydrothermal liquefaction,Alchohol
US20170027351A1,Wine glass,Alchohol
US20170024444A1,System and method using specialized computers and software for creating wine and music pairings,Alchohol
US20170022463A1,Device and method for producing beer,Alchohol
US20170013983A1,Combined Wine Glass and Cork Remover Tool,Alchohol
US20160376537A1,Production of a low-alcohol fruit beverage,Alchohol
US20160376436A1,Material composition for producing beer bottle and method of producing beer bottle,Alchohol
US20160375678A1,Lettering apparatus and lettering method for beer barrel,Alchohol
US20160374364A1,Method of and system for producing a high value animal feed additive from a stillage in an alcohol production process,Alchohol
US20160369214A1,In-Line Detection of Chemical Compounds in Beer,Alchohol
US20160368749A1,Wine Bottle Opener,Alchohol
US20160340627A1,Process for preparing sparkling wine cocktails,Alchohol
US20160331131A1,Wine bottle holding system,Alchohol
US20160326472A1,Citrus fruit-infused liquor,Alchohol
US20160326471A1,Appliance for brewing beer,Alchohol
US20160319230A1,Metal-carrying zeolite for alcoholic beverages and alcoholic beverage manufacturing method,Alchohol
US20160313260A1,"Systems, probes, and methods for dielectric testing of wine in bottle",Alchohol
US20160289619A1,Aging of Alcoholic Beverages Using Controlled Mechanically Induced Cavitation,Alchohol
US20160281040A1,Systems and Methods for Aging Beer Inside A Coconut,Alchohol
US20160280529A1,Mobile wine tasting system,Alchohol
US20160280527A1,Capsule-based alcoholic beverage forming apparatus and components thereof,Alchohol
US20160271572A1,A network connected wine decanter appliance for oxidizing wine,Alchohol
US20160264322A1,Wine cork with built-in gas activated mini-corkscrew,Alchohol
US20160260155A1,System and Method for Recommending and Dispensing Samples of Wine,Alchohol
US20160251604A1,Method for Treating a Wort in a Boiling Kettle,Alchohol
US20160237492A1,"Diagnostic and prognostic test for sturge-weber syndrome, klippel-trenaunay-weber syndrome, and port-wine stains (pwss)",Alchohol
US20160237387A1,Caffeinated alcoholic coffee fruit beverage,Alchohol
US20160228830A1,Wine oxygenation device,Alchohol
US20160222419A1,Genetically engineered saccharomyces cerevisiae and yarrowia lipolytica and production of fatty alcohols,Alchohol
US20160215244A1,Method for Production of Brewers Wort,Alchohol
US20160215196A1,Fluid composition comprising crosslinked polyvinylpyrrolidone for oil field applications,Alchohol
US20160213628A1,Deterring abuse of pharmaceutical products and alcohol,Alchohol
US20160208205A1,Method for production of beer,Alchohol
US20160194586A1,Method and apparatus for beer fermentation,Alchohol
US20160184781A1,Device for aerating wine,Alchohol
US20160176589A1,"Combination bottle closure, pour spout, and wine aerator",Alchohol
US20160175783A1,"Method and installation for preparing a drink, particulary wine, for tasting",Alchohol
US20160175782A1,In-bottle wine aerator,Alchohol
US20160175781A1,Systems and methods for wine preservation,Alchohol
US20160145551A1,Pick up tube assembly useful for fluid transfer including liquid transfer in alcoholic beverage brewing operations,Alchohol
US9277674B2,Electrical part fixing structure for hybrid vehicles,Non-Autonomous Vehicles
US9277385B2,911 assist by wireless charger with NFC in the vehicle,Non-Autonomous Vehicles
US9277311B2,Controlling a speaker arrangement in a vehicle,Non-Autonomous Vehicles
US9277191B2,"Security monitoring systems, methods and devices for electric vehicle charging stations",Non-Autonomous Vehicles
US9276431B2,Power management for electric vehicles,Non-Autonomous Vehicles
US9276299B2,Vehicle,Non-Autonomous Vehicles
US9276265B2,"Lithium-ion cell, lithium-ion rechargeable battery and motor vehicle with a lithium-ion rechargeable battery",Non-Autonomous Vehicles
US9275546B2,System and method for minimizing the time to park a vehicle,Non-Autonomous Vehicles
US9275505B2,"Apparatus, method and article for physical security of power storage devices in vehicles",Non-Autonomous Vehicles
US9275502B2,Driving information restoration system and method for vehicle,Non-Autonomous Vehicles
US9275501B2,Method for controlling at least one function of a motor vehicle,Non-Autonomous Vehicles
US9275458B2,Apparatus and method for providing vehicle camera calibration,Non-Autonomous Vehicles
US9275417B2,Synchronization of vehicle sensor information,Non-Autonomous Vehicles
US9275391B2,Electric vehicle charging station adapted for the delivery of goods and services,Non-Autonomous Vehicles
US9275274B2,System and method for identifying handwriting gestures in an in-vehicle information system,Non-Autonomous Vehicles
US9275008B2,Method and apparatus of triggering an active device of a vehicle,Non-Autonomous Vehicles
US9274786B2,Vehicle information update method and apparatus,Non-Autonomous Vehicles
US9274540B2,Recharging of battery electric vehicles on a smart electrical grid system,Non-Autonomous Vehicles
US9274213B2,Method for calibrating a plurality of environment sensors in a vehicle,Non-Autonomous Vehicles
US9274157B2,Battery tester for electric vehicle,Non-Autonomous Vehicles
US9273713B2,Insulated stud for attaching applique to metal body vehicle and methods of making and using the same,Non-Autonomous Vehicles
US9273617B2,Control device and control method of vehicle,Non-Autonomous Vehicles
US9273603B2,Vehicle-mounted power supply system,Non-Autonomous Vehicles
US9273592B2,Hybrid vehicle and method for controlling the same,Non-Autonomous Vehicles
US9272854B2,Vehicle restraints with activated catches,Non-Autonomous Vehicles
US9272744B1,Three-wheeled vehicles,Non-Autonomous Vehicles
US9272738B2,Structure for connecting wheel house panel to rear floor of vehicle,Non-Autonomous Vehicles
US9272725B2,Steering wheel for a motor vehicle and process for producing a steering wheel,Non-Autonomous Vehicles
US9272724B2,Integrated vehicle control system and apparatus,Non-Autonomous Vehicles
US9272714B2,Driver behavior based vehicle application recommendation,Non-Autonomous Vehicles
US9272712B2,Vehicle energy consumption efficiency learning in the energy domain,Non-Autonomous Vehicles
US9272710B2,Apparatus and method for preventing vehicle collision,Non-Autonomous Vehicles
US9272704B2,Hybrid vehicle having boost converter and control method of a hybrid vehicle having a boost converter,Non-Autonomous Vehicles
US9272702B2,Internal combustion engine control for a hybrid vehicle,Non-Autonomous Vehicles
US9272701B2,Plug-in hybrid vehicle,Non-Autonomous Vehicles
US9272696B2,Failure diagnosis method for brake system of vehicle,Non-Autonomous Vehicles
US9272689B2,System and method for biometric identification in a vehicle,Non-Autonomous Vehicles
US9272688B2,Method and system for selecting vehicle performance,Non-Autonomous Vehicles
US9272678B2,Vehicle body reinforcing structure for coping with small overlap collision,Non-Autonomous Vehicles
US9272670B2,In-vehicle audio apparatus,Non-Autonomous Vehicles
US9272667B2,Automated retractable vehicle step,Non-Autonomous Vehicles
US9272666B2,"Communication device for a vehicle, room mirror structure included in the same and shade band connected electrically to the room mirror structure",Non-Autonomous Vehicles
US9272664B2,Naked eye 3D video system for backing a vehicle and vehicle including the system,Non-Autonomous Vehicles
US9272659B1,Auxiliary vehicle lamp operation system,Non-Autonomous Vehicles
US9272651B1,Storage assembly with cup holder and vehicle including the same,Non-Autonomous Vehicles
US9272650B2,Vehicle seat apparatuses,Non-Autonomous Vehicles
US9272645B2,"Adjusting apparatus for a pivotable comfort element, in particular for an armrest of a vehicle",Non-Autonomous Vehicles
US9272636B2,Work vehicle for transmitting drive power from an electric motor to a propelling transmission system,Non-Autonomous Vehicles
US9272631B2,"Method and charging station for traction battery of an electric vehicle with automatic, motorized positioning of station-side coupler to inductively charge through the vehicle license plate",Non-Autonomous Vehicles
US9272629B2,Power system switching between charge-discharge function and driving function and electric vehicle comprising the same,Non-Autonomous Vehicles
US9272628B2,Using AC induction motor as a generator in a utility vehicle,Non-Autonomous Vehicles
US9272626B2,"Devices and methods for the safe driving, charging and energy recovery operation of an electric vehicle",Non-Autonomous Vehicles
US9272625B2,Power supply system for powering an electric load of a vehicle,Non-Autonomous Vehicles
US9272624B2,Display apparatus for vehicle,Non-Autonomous Vehicles
US9272613B2,Straddle type vehicle,Non-Autonomous Vehicles
US9272604B2,Molding for vehicle and attachment structure of molding in vehicle,Non-Autonomous Vehicles
US9272589B2,Carrier vehicle and coupling mechanism,Non-Autonomous Vehicles
US9272585B2,Method for filtering data in a tire pressure monitoring system for a vehicle,Non-Autonomous Vehicles
US9272496B2,"Secure devices for personal or article identification, such as driver'S licenses and vehicle license plates, and methods of producing such improved devices",Non-Autonomous Vehicles
US9272064B2,Perfume dispenser for motor vehicles,Non-Autonomous Vehicles
US9271219B2,"In-vehicle communication system, in-vehicle communication apparatus, and mobile communication terminal",Non-Autonomous Vehicles
US9271073B2,Method for controlling an extended-range electric vehicle including an electronic sound enhancement system,Non-Autonomous Vehicles
US9270407B2,Method and apparatus for selective blanking of a motor vehicle license plate,Non-Autonomous Vehicles
US9270153B2,Energy regeneration device of suspension system for vehicle regenerating rotational kinetic energy generated from wheels into electric energy,Non-Autonomous Vehicles
US9270018B2,"Rooftop antenna, in particular motor vehicle rooftop antenna with associated plug-type connection device",Non-Autonomous Vehicles
US9269936B2,Apparatus and method for providing safety measures during gas release from a vehicle battery and installation space for a vehicle battery,Non-Autonomous Vehicles
US9269861B2,Light emitting device package and lighting device for vehicle including the same,Non-Autonomous Vehicles
US9269268B2,Systems and methods for adaptive vehicle sensing systems,Non-Autonomous Vehicles
US9269267B2,Driver initiated vehicle-to-vehicle anonymous warning device,Non-Autonomous Vehicles
US9269263B2,Vehicle top clearance alert system,Non-Autonomous Vehicles
US9269204B2,Vehicle fault determination device,Non-Autonomous Vehicles
US9269169B2,Vehicle display apparatus and vehicle display control unit,Non-Autonomous Vehicles
US9268740B2,External environment recognizing device for vehicle and light distribution control system using the same,Non-Autonomous Vehicles
US9267809B2,"Control apparatus and method for controlling operation target device in vehicle, and steering wheel",Non-Autonomous Vehicles
US9267659B2,Vehicle lamp,Non-Autonomous Vehicles
WO2016023107A1,Motor vehicle security apparatus,Non-Autonomous Vehicles
WO2015078696A3,Method for installing hinge parts of a side door on a vehicle body,Non-Autonomous Vehicles
WO2016022840A1,Mobile device holder for use in a vehicle,Non-Autonomous Vehicles
WO2016022479A1,Apparatus and method for stitching vehicle interior components and components formed from the method,Non-Autonomous Vehicles
WO2016021961A1,Vehicle head lamp driving apparatus and vehicle provided with same,Non-Autonomous Vehicles
WO2016021698A1,Lamp for vehicles,Non-Autonomous Vehicles
WO2016021622A1,Seatbelt assist device and vehicle seat,Non-Autonomous Vehicles
WO2016021469A1,Vehicle control apparatus,Non-Autonomous Vehicles
WO2016021340A1,Vehicle control system and action plan system provided with same,Non-Autonomous Vehicles
WO2016021326A1,Pop-up hood device for vehicle,Non-Autonomous Vehicles
WO2016021297A1,Article retaining net for automobile trunk compartment,Non-Autonomous Vehicles
WO2016021136A1,In-vehicle electricity storage system,Non-Autonomous Vehicles
WO2016021126A1,In-vehicle power supply device and vehicle mounted with same,Non-Autonomous Vehicles
WO2016021102A1,Vehicle display device,Non-Autonomous Vehicles
WO2016021077A1,"Semiconductor device, power module, electric power converting device, automobile, and railway vehicle",Non-Autonomous Vehicles
WO2016021059A1,Electric vehicle control device and electric vehicle control method,Non-Autonomous Vehicles
WO2016021007A1,Vehicle power conversion device,Non-Autonomous Vehicles
WO2016020847A1,A pivot assembly for a vehicle external rear vision device and a pivot tie therefore,Non-Autonomous Vehicles
WO2016020600A1,"Replaceable lighting device with rotary reflector, for an optical block of a vehicle",Non-Autonomous Vehicles
WO2016020597A1,Stowable motor vehicle seat,Non-Autonomous Vehicles
WO2016020591A1,Vehicle structure with reinforcement between aluminium sill and front hinge pillar,Non-Autonomous Vehicles
WO2016020517A1,Component of a composite material for a motor vehicle,Non-Autonomous Vehicles
WO2016020512A1,Vehicle with a storage device that can be recharged by means of a charging cable and an external power supply,Non-Autonomous Vehicles
WO2016020505A1,Method for producing an automotive equipment part and associated part,Non-Autonomous Vehicles
WO2016020420A1,Vehicle aerodynamic apparatus,Non-Autonomous Vehicles
WO2016020417A1,Vehicle aerodynamic apparatus,Non-Autonomous Vehicles
WO2016020357A1,"Method for generating a map of surroundings of an area of the surroundings of a motor vehicle, driver assistance system and motor vehicle",Non-Autonomous Vehicles
WO2016020251A1,Energy supply system for a motor vehicle with an electric or hybrid drive,Non-Autonomous Vehicles
WO2016020203A1,Motor vehicle lamp and method for operating a motor vehicle lamp,Non-Autonomous Vehicles
WO2016020195A1,Method and device for automatically selecting a driving mode in a motor vehicle,Non-Autonomous Vehicles
WO2016020193A1,Battery retaining device for securing a vehicle battery to a vehicle body of a vehicle,Non-Autonomous Vehicles
WO2016020117A1,Vehicle-electrical-system assembly and method for operating a vehicle electrical system of an electrically drivable means of transportation having a fuel cell,Non-Autonomous Vehicles
WO2016020092A1,Controlling a motor vehicle to prevent wrong-way driving,Non-Autonomous Vehicles
WO2016020037A1,Charging connection device for a motor vehicle and motor vehicle having a charging connection device,Non-Autonomous Vehicles
WO2016020036A1,"Method for determining the duty factor of a pulse-width-modulated signal by means of a vehicle control unit, and vehicle control unit",Non-Autonomous Vehicles
WO2016019705A1,Method and device for processing real-time vehicle traveling data,Non-Autonomous Vehicles
WO2016019510A1,Intelligent lamp device for vehicle,Non-Autonomous Vehicles
WO2015075668A8,Automotive lamp,Non-Autonomous Vehicles
WO2016018999A1,Motor vehicle with wheelchair caddy,Non-Autonomous Vehicles
WO2016018320A1,System for projecting an image within a vehicle interior,Non-Autonomous Vehicles
WO2016018120A1,Vehicle lamp,Non-Autonomous Vehicles
WO2016018119A1,Vehicle lamp,Non-Autonomous Vehicles
WO2016018022A1,"Vehicle safety system for capturing and displaying infrared image so as to detect danger in dark environment, and method for capturing infrared image",Non-Autonomous Vehicles
WO2016017963A1,Electric vehicle quick charge control apparatus,Non-Autonomous Vehicles
WO2016017960A1,Vehicle steering wheel cover assembly,Non-Autonomous Vehicles
WO2016017636A1,Driving assistance device for vehicle,Non-Autonomous Vehicles
WO2016017608A1,Work vehicle,Non-Autonomous Vehicles
WO2016017201A1,Vehicle control device and control method,Non-Autonomous Vehicles
WO2016017173A1,"Lens unit, vehicle-mounted camera, and imaging device",Non-Autonomous Vehicles
WO2016017089A1,Vehicle communication system,Non-Autonomous Vehicles
WO2016017079A1,"Positive-electrode active material, positive electrode, battery, battery pack, electronic device, electric vehicle, electricity storage apparatus, and power system",Non-Autonomous Vehicles
WO2016017077A1,"Positive-electrode active material, positive electrode, battery, battery pack, electronic device, electric vehicle, electricity storage apparatus, and power system",Non-Autonomous Vehicles
WO2016017040A1,Vehicle system and control method therefor,Non-Autonomous Vehicles
WO2016016981A1,"Transport vehicle, dump truck, and transport vehicle control method",Non-Autonomous Vehicles
WO2016016980A1,Transport vehicle and control method for transport vehicle,Non-Autonomous Vehicles
WO2016016978A1,"Work vehicle display device, display method for same, and work vehicle",Non-Autonomous Vehicles
WO2016016924A1,Seat for vehicle,Non-Autonomous Vehicles
WO2016016708A1,Control device for starting an engine of a vehicle,Non-Autonomous Vehicles
WO2016016578A1,Two-part motor vehicle spoiler,Non-Autonomous Vehicles
